Rk_x,Player,Age_x,Team,Pos,G_x,GS_x,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards_x,Player-additional_x,Rk_y,Age_y,Pos_y,G_y,GS_y,MP_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards_y,Player-additional_y,Rk,Tm,Salary,VORP_norm,BPM_norm,TS%_norm,WS_norm,PTS_norm,MPG_norm,AST_norm,TRB_norm,PER_norm,STL_norm,BLK_norm,Score,ValuePerMillion
1.0,Luka Dončić,26.0,LAL,PG,64.0,64.0,35.8,10.8,22.8,0.476,4.0,10.8,0.366,6.9,11.9,0.575,0.563,7.9,10.1,0.78,0.6,7.1,7.7,8.3,1.6,0.5,4.0,2.4,33.5,MVP-4CPOY-8ASNBA1,doncilu01,37.0,26.0,PG,64.0,64.0,2289.0,27.9,0.616,0.476,0.443,2.2,22.5,12.7,40.5,2.2,1.4,12.8,38.1,6.6,2.9,9.5,0.199,8.0,1.3,9.3,6.6,MVP-4CPOY-8ASNBA1,doncilu01,22,LAL,45999660.0,0.8723404255319148,0.8736842105263158,0.7896995708154505,0.6607142857142857,1.0,0.9211469534050178,0.8181818181818182,0.9178082191780821,0.8806584362139916,0.6666666666666666,0.625,0.8639147874402721,0.22564569668360043
2.0,Shai Gilgeous-Alexander,27.0,OKC,PG,68.0,68.0,33.2,10.8,19.4,0.553,1.7,4.4,0.386,9.1,15.0,0.602,0.597,7.9,9.0,0.879,0.6,3.7,4.3,6.6,1.4,0.8,2.2,2.0,31.1,MVP-1CPOY-1ASNBA1,gilgesh01,45.0,27.0,PG,68.0,68.0,2259.0,30.8,0.665,0.226,0.465,1.9,11.7,7.0,35.0,2.0,2.3,8.7,33.4,11.1,4.1,15.2,0.323,8.7,3.0,11.7,7.8,MVP-1CPOY-1ASNBA1,gilgesh01,34,OKC,38333050.0,1.0,1.0,1.0,1.0,0.9213114754098362,0.8279569892473119,0.625,0.45205479452054786,1.0,0.5555555555555554,1.0,0.9534379223221107,0.26148003930656816
3.0,Anthony Edwards,24.0,MIN,SG,61.0,60.0,35.0,9.9,20.2,0.489,3.4,8.4,0.399,6.5,11.8,0.554,0.572,5.7,7.2,0.796,0.6,4.4,5.0,3.7,1.4,0.8,2.9,1.9,28.8,CPOY-3AS,edwaran01,60.0,24.0,SG,61.0,60.0,2137.0,21.8,0.617,0.418,0.355,1.9,13.4,7.8,17.6,1.9,2.0,10.9,31.5,3.9,2.7,6.5,0.147,4.7,-0.1,4.5,3.5,CPOY-3AS,edwaran01,23,MIN,45550512.0,0.8771929824561403,0.9516129032258066,0.6587677725118485,0.8172043010752689,1.0,1.0,0.5740740740740741,0.6896551724137931,0.9294871794871796,0.6666666666666666,0.6153846153846154,0.8830287199128677,0.23123066520289753
4.0,Jaylen Brown,29.0,BOS,SF,71.0,71.0,34.4,10.4,21.7,0.477,2.0,5.7,0.347,8.4,16.0,0.523,0.522,6.0,7.5,0.795,1.1,5.8,6.9,5.1,1.0,0.4,3.6,2.7,28.7,MVP-6ASNBA2,brownja02,22.0,29.0,SF,71.0,71.0,2443.0,22.0,0.573,0.262,0.347,3.7,18.1,11.1,25.9,1.5,1.1,12.7,36.2,3.5,3.4,6.9,0.135,3.5,-0.1,3.3,3.3,MVP-6ASNBA2,brownja02,9,BOS,53142264.0,0.6923076923076923,0.624,0.5290322580645158,0.6481481481481483,1.0,0.9236641221374046,0.6266666666666666,0.6222222222222222,0.6989795918367347,0.4444444444444445,0.30000000000000004,0.7168701001310914,0.18043671135810652
5.0,Tyrese Maxey,25.0,PHI,PG,70.0,70.0,38.0,9.9,21.4,0.462,3.1,8.6,0.367,6.8,12.9,0.525,0.536,5.3,6.0,0.892,0.3,3.8,4.1,6.6,1.9,0.8,2.4,2.2,28.3,CPOY-7ASNBA3,maxeyty01,8.0,25.0,PG,70.0,70.0,2661.0,21.9,0.588,0.399,0.278,1.0,11.0,5.9,28.9,2.4,1.9,9.2,29.4,5.9,2.8,8.7,0.156,5.0,0.5,5.4,4.9,CPOY-7ASNBA3,maxeyty01,37,PHI,37958760.0,0.6914893617021276,0.6684210526315789,0.6695278969957079,0.613095238095238,0.8295081967213115,1.0,0.625,0.42465753424657526,0.6337448559670781,0.8333333333333333,1.0,0.7439373302210867,0.2045750769604344
6.0,Kawhi Leonard,34.0,LAC,SF,65.0,65.0,32.1,9.8,19.4,0.505,2.6,6.8,0.387,7.1,12.5,0.569,0.573,5.7,6.4,0.892,1.1,5.3,6.4,3.6,1.9,0.4,2.0,1.2,27.9,MVP-7CPOY-10ASNBA2,leonaka01,66.0,34.0,SF,65.0,65.0,2085.0,27.9,0.629,0.354,0.331,4.1,18.6,11.5,21.0,2.9,1.2,8.4,33.5,6.5,2.7,9.2,0.212,7.4,0.6,8.0,5.3,MVP-7CPOY-10ASNBA2,leonaka01,14,LAC,50000000.0,1.0,1.0,0.8903225806451612,0.861111111111111,0.9677419354838709,0.83587786259542,0.4266666666666667,0.5666666666666668,1.0,0.9444444444444444,0.30000000000000004,0.935136187036581,0.2390415868564751
7.0,Donovan Mitchell,29.0,CLE,SG,70.0,70.0,33.5,9.7,20.0,0.483,3.2,8.8,0.364,6.5,11.2,0.577,0.563,5.3,6.1,0.865,0.7,3.8,4.5,5.7,1.5,0.3,2.8,2.3,27.9,MVP-7ASNBA2,mitchdo01,31.0,29.0,SG,70.0,70.0,2342.0,22.9,0.613,0.439,0.306,2.4,12.4,7.4,27.9,2.1,0.8,11.1,32.2,5.8,2.4,8.2,0.169,5.2,-0.2,5.1,4.2,MVP-7ASNBA2,mitchdo01,20,CLE,46394100.0,1.0,1.0,0.6398104265402845,1.0,0.9655172413793103,0.9382716049382716,0.9444444444444445,0.603448275862069,1.0,0.7222222222222222,0.23076923076923075,0.9196571224993625,0.23967053120446594
8.0,Nikola Jokić,30.0,DEN,C,65.0,65.0,34.8,9.9,17.4,0.569,1.7,4.5,0.38,8.2,12.9,0.636,0.618,6.1,7.4,0.831,3.0,9.9,12.9,10.7,1.4,0.8,3.7,2.7,27.7,MVP-2CPOY-6ASNBA1,jokicni01,43.0,30.0,C,65.0,65.0,2265.0,32.3,0.67,0.261,0.424,10.0,30.4,20.7,50.3,2.0,2.2,15.3,30.4,11.5,3.4,14.9,0.316,10.1,4.1,14.2,9.2,MVP-2CPOY-6ASNBA1,jokicni01,3,DEN,55224526.0,1.0,1.0,0.6015625000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.23333333333333336,0.9417447916666668,0.23476669224748892
9.0,Giannis Antetokounmpo,31.0,MIL,PF,36.0,36.0,28.9,10.4,16.6,0.624,0.4,1.3,0.333,9.9,15.4,0.647,0.636,6.4,9.9,0.65,2.7,7.1,9.8,5.4,0.9,0.7,3.2,2.4,27.6,AS,antetgi01,270.0,31.0,PF,36.0,36.0,1039.0,32.6,0.658,0.075,0.597,10.7,27.4,19.2,38.7,1.6,2.3,13.2,37.0,3.9,1.1,5.0,0.231,7.7,1.8,9.5,3.0,AS,antetgi01,7,MIL,54126450.0,0.7647058823529411,1.0,0.8442622950819675,0.5543478260869565,1.0,0.7529880478087648,0.9090909090909091,0.8571428571428572,1.0,0.4666666666666666,0.3684210526315789,0.8169813532373259,0.20468936194599346
10.0,Joel Embiid,31.0,PHI,C,38.0,38.0,31.6,9.0,18.3,0.489,1.4,4.2,0.333,7.6,14.2,0.535,0.527,7.5,8.8,0.854,2.0,5.7,7.7,3.9,0.6,1.2,2.9,2.2,26.9,,embiijo01,231.0,31.0,C,38.0,38.0,1201.0,24.7,0.605,0.228,0.481,6.7,20.0,13.3,21.7,0.8,3.6,11.4,33.5,2.8,1.3,4.1,0.163,5.1,-0.2,4.9,2.1,,embiijo01,2,PHI,55224526.0,0.2828282828282829,0.5418719211822661,0.3476562499999999,0.2602739726027397,0.9672131147540983,0.869387755102041,0.3461538461538462,0.48514851485148514,0.656108597285068,0.3846153846153847,0.36666666666666664,0.5236605752367937,0.13054286277621766
